SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,19)-(7,60)",0.4872977267950773,3,26,8,9,23,2,0
"(2,23)-(7,60)",2.146521583199501,8,3,23,22,4,9,0
"(3,3)-(7,60)",5.4627059853373794e-05,11,22,30,3,6,20,0
"(3,9)-(3,11)",0.10046306997537613,2,14,29,7,1,13,0
"(4,11)-(4,13)",0.0010968405149469618,7,2,29,21,14,12,0
"(6,7)-(7,60)",0.015981437172740698,30,21,26,2,13,11,0
"(6,13)-(6,41)",8.258741672761971e-05,26,3,17,1,10,2,0
"(6,15)-(6,41)",6.513669603691596e-06,1,2,26,17,3,10,0
"(6,19)-(6,36)",1.278394553810358,1,3,24,14,2,4,0
"(6,19)-(6,41)",99.6806263923645,16,10,30,2,20,17,2
"(6,20)-(6,29)",5.931944196779583e-16,1,4,10,24,2,9,0
"(6,34)-(6,35)",16.1537304520607,1,4,10,24,6,17,0
"(6,40)-(6,41)",0.595877505838871,1,28,2,29,19,27,0
"(7,7)-(7,60)",7.719359018665273e-06,30,16,6,3,11,1,0
"(7,24)-(7,60)",1.7739317570431012e-05,1,4,2,6,9,3,0
"(7,32)-(7,33)",33.22915434837341,29,3,1,21,13,19,0
"(7,37)-(7,51)",3.5390473902225494,1,4,10,7,29,2,0
"(7,37)-(7,60)",0.08116126409731805,6,3,1,14,30,4,0
"(7,52)-(7,53)",7.514029953803458e-08,29,1,24,3,10,4,0
"(7,59)-(7,60)",0.03749233728740364,29,1,3,19,24,7,0
