SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,12)-(28,35)",1.6974574605672812e-23,22,13,40,37,8,9,0
"(16,15)-(28,35)",7.847287038880444e-23,13,37,8,22,9,40,0
"(30,20)-(31,59)",1.6829832816256385e-05,8,9,3,37,2,42,0
"(30,22)-(31,59)",1.0882076807320118,8,9,42,2,1,26,0
"(31,3)-(31,59)",20.369252562522888,8,2,1,42,9,47,0
"(31,17)-(31,20)",69.83785629272461,10,35,48,4,1,2,3
"(31,26)-(31,32)",3.068330300948219e-06,29,2,10,1,32,33,0
"(31,26)-(31,59)",36.77825927734375,14,28,13,3,21,27,2
"(31,33)-(31,59)",0.05716542364098132,14,3,2,28,1,21,0
"(31,34)-(31,35)",8.867972467463403e-08,2,29,1,10,7,21,0
"(31,36)-(31,46)",4.500397624007668e-09,2,7,24,21,1,29,0
"(31,47)-(31,58)",59.96585488319397,14,3,43,21,1,24,0
"(31,48)-(31,55)",2.539625839887097e-16,27,1,2,19,7,10,0
