file,stepLimit,time,tests,outcome,steps,jumps
20060302-08:37:20-b8c86c351fe390ea1b61a078bd334bcb.seminal.ml,500,3.303050994873047e-3,1,U,3,1
20060302-11:44:52-24ef771985d7d045ba7b08750298e016.seminal.ml,500,2.718496322631836e-2,1,B,3,2
20060302-17:13:10-a8f4767ee6e6a7cde277182e105bfabc.seminal.ml,500,4.75311279296875e-3,1,U,5,3
20060302-17:24:50-0043a91b08c0d77c155551e167ad8e89.seminal.ml,500,6.195068359375e-3,1,U,6,4
20060302-17:25:04-7cc4ff612923f8094e8eb5f72b0e1f2c.seminal.ml,500,1.4591217041015625e-3,1,U,6,5
20060302-17:41:14-78b119ef8daf7487521aecd4d482c13c.seminal.ml,500,4.732847213745117e-3,1,U,8,3
20060302-17:56:00-27ff2306cdb017964c28aea1d4f4f156.seminal.ml,500,9.155988693237305e-3,1,U,9,3
20060302-17:59:30-23a435cfd9bc233c44ea620d0de3c444.seminal.ml,500,4.37617301940918e-3,1,U,4,2
20060302-18:51:58-07c030b8599493d2dad778213c2451af.seminal.ml,500,2.933979034423828e-3,1,U,5,3
20060302-19:07:08-0c9a74768b1ce28cda245bf0300484f0.seminal.ml,500,2.382206916809082e-2,4,U,13,2
20060302-19:14:56-24471d7711961e7e9bd5c4e991485f01.seminal.ml,500,8.417606353759766e-2,4,U,53,5
20060302-19:21:02-d5696c8c12ef82896f4e7eced60e32c8.seminal.ml,500,9.258031845092773e-3,2,U,17,2
20060302-21:10:04-38dc8291e8c39612a75396c81f0ca005.seminal.ml,500,3.877878189086914e-3,1,B,4,2
20060302-21:11:18-9acb449819ae09c9d5f0d8926e89c41d.seminal.ml,500,4.422903060913086e-3,1,B,4,2
20060303-20:46:42-1b35868bafe72205ea7e97084a3529eb.seminal.ml,500,9.432077407836914e-3,1,U,2,1
20060303-20:51:08-b1062ae1e521cf11892c663425a3dda8.seminal.ml,500,1.3057947158813477e-2,2,U,12,4
20060303-20:53:58-e021a562c275370c34ca3ba963367424.seminal.ml,500,3.031015396118164e-3,1,U,5,2
20060303-20:55:22-064afe0d9316ae21541c6f1171f85982.seminal.ml,500,3.1249523162841797e-3,1,U,5,2
20060303-20:59:18-cec313538dab60fdbdbd549d4dfc8c22.seminal.ml,500,7.467985153198242e-3,3,B,6,2
20060303-21:49:20-2bc1510b76bf11ac93785858fe7225ee.seminal.ml,500,4.043899059295654,1000,S,0,0
20060303-22:00:40-01a5cb3bf91aa2112c2a6c4201763826.seminal.ml,500,0.6570079326629639,1,U,8,3
20060305-20:46:34-89ba339c95f447a2829dad7d635f79f0.seminal.ml,500,0.7098300457000732,1,U,2,1
20060305-21:49:26-9fc379ff0ebf471cca400f4c3b144205.seminal.ml,500,5.74183464050293e-3,2,U,3,2
20060305-21:54:22-225f629e0d1a262f23af4cbcfa099317.seminal.ml,500,8.10384750366211e-3,3,U,8,3
20060305-21:56:00-9af22179cf4408715cbf337f5c3a534f.seminal.ml,500,6.787973880767822,1000,S,0,0
20060305-22:14:52-12016d8b3cdc445959e85885bbc00c77.seminal.ml,500,1.0293128490447998,1,U,125,19
20060305-22:23:52-2cddd39a2e0ba2ddb9831a32c8c470f4.seminal.ml,500,6.6149234771728516e-3,1,U,13,2
20060305-22:25:00-bfad48a8bb7388bdd92708919b46cbb2.seminal.ml,500,5.985174894332886,1000,S,0,0
20060306-08:28:18-863fd9c993226acc0132a40c3f5d3b7e.seminal.ml,500,0.6465480327606201,1,U,2,1
20060306-08:32:58-cadc6088100ec722ce0c8ab60e81a45a.seminal.ml,500,1.1605024337768555e-2,2,U,12,4
20060306-08:33:16-ec35aa1715ccf5f5b7fff55effcc06f0.seminal.ml,500,0.1765120029449463,5,U,95,18
20060306-08:37:02-47b330576eb70ab4b956307ff1978ccc.seminal.ml,500,0.7284388542175293,1,U,2,1
20060306-08:46:54-c09bb5fa4ade9b9834ebc0e95c303f20.seminal.ml,500,9.341955184936523e-3,2,U,6,2
20060306-09:32:26-9dfb57b0785b1229719704e079d51228.seminal.ml,500,9.422516822814941e-2,12,U,23,7
20060306-09:54:52-94bacf5a48d35fd1aa367bc565cc4abd.seminal.ml,500,60.001737117767334,1,T,0,0
20060308-15:14:15-b4673217f9f876ace714063f276c1cb7.seminal.ml,500,3.7910938262939453e-3,1,U,4,2
20060308-15:14:55-8b55587ab02b2e74f5be9a1620ad164b.seminal.ml,500,2.1545886993408203e-2,3,U,12,4
20060308-16:27:14-d2561594acb510c00ce747e7e54b07de.seminal.ml,500,2.4348974227905273e-2,1,U,21,4
20060308-16:43:26-9fc4f621ad5235ecb0a0bfe70ddbac27.seminal.ml,500,2.8602123260498047e-2,1,U,21,4
20060308-17:49:12-350bb6231959f879ee62f44461de9e70.seminal.ml,500,2.320384979248047e-2,1,U,20,5
20060308-17:58:24-ba6b10619bc62fead2d1d1fc3e4bcfc0.seminal.ml,500,4.304099082946777e-2,2,U,23,6
20060308-18:17:57-53a3b527552c251aa1421ce37caa859c.seminal.ml,500,4.385709762573242e-2,1,U,21,4
20060308-19:14:09-035509263a843a367f5130529c008817.seminal.ml,500,1.2132883071899414e-2,1,U,7,2
20060308-19:19:12-06937106ff3926fe3963a0e5d3b99347.seminal.ml,500,9.400606155395508e-2,2,U,31,8
