file,stepLimit,time,tests,outcome,steps,jumps
prog0001.ml,500,5.3141117095947266e-3,5,U,9,3
prog0002.ml,500,2.233409881591797e-2,1,U,31,6
prog0007.ml,500,1.8214941024780273e-2,3,U,6,2
prog0012.ml,500,5.900859832763672e-4,1,B,1,1
prog0013.ml,500,60.013628005981445,1,T,0,0
prog0014.ml,500,6.166934967041016e-3,1,U,16,4
prog0015.ml,500,3.143906593322754e-2,1,U,47,16
prog0016.ml,500,0.1525862216949463,1,U,47,16
prog0017.ml,500,8.285999298095703e-3,1,U,15,5
prog0018.ml,500,7.360935211181641e-3,1,U,15,5
prog0019.ml,500,60.00079798698425,1,T,0,0
prog0020.ml,500,2.0473003387451172e-2,1,U,34,10
prog0021.ml,500,1.993703842163086e-2,1,U,34,10
prog0022.ml,500,2.672100067138672e-2,5,U,22,6
prog0023.ml,500,5.044102668762207e-2,8,U,21,4
prog0024.ml,500,5.6400299072265625e-3,1,S,0,0
prog0025.ml,500,9.073019027709961e-3,1,S,0,0
prog0026.ml,500,1.0977983474731445e-2,1,U,12,5
prog0027.ml,500,6.448984146118164e-3,1,U,13,5
prog0028.ml,500,7.923126220703125e-3,1,U,17,5
prog0029.ml,500,4.889965057373047e-3,1,S,0,0
prog0030.ml,500,8.301019668579102e-3,1,S,0,0
prog0031.ml,500,5.7489871978759766e-3,1,S,0,0
prog0032.ml,500,9.907960891723633e-3,1,S,0,0
prog0033.ml,500,1.882791519165039e-3,1,U,4,2
prog0034.ml,500,4.2400360107421875e-3,1,U,11,3
prog0035.ml,500,0.1581101417541504,1,U,47,8
prog0036.ml,500,9.235858917236328e-3,1,U,23,5
prog0037.ml,500,2.241849899291992e-3,1,S,0,0
prog0038.ml,500,0.15404200553894043,1,U,47,8
prog0039.ml,500,9.269952774047852e-3,1,U,23,5
prog0040.ml,1000,60.0393500328064,1,T,0,0
prog0041.ml,500,1.7080307006835938e-3,1,B,4,2
prog0042.ml,500,1.767873764038086e-3,1,B,4,2
prog0043.ml,500,1.344919204711914e-3,1,B,3,2
prog0044.ml,500,3.921031951904297e-3,1,B,8,2
prog0045.ml,500,9.891986846923828e-3,1,U,25,6
prog0046.ml,500,2.62448787689209e-2,1,U,47,10
prog0047.ml,500,2.5374174118041992e-2,1,U,47,10
prog0048.ml,500,1.0218143463134766e-2,1,U,25,6
prog0049.ml,500,7.000923156738281e-3,1,U,15,2
prog0050.ml,500,4.608154296875e-3,1,U,19,5
prog0051.ml,500,2.379608154296875e-2,19,U,23,4
prog0052.ml,500,1.9870996475219727e-2,14,U,24,4
prog0053.ml,500,1.70900821685791e-2,12,U,24,4
prog0054.ml,500,5.193018913269043e-2,36,U,24,4
prog0055.ml,500,1.3394832611083984e-2,15,U,7,3
prog0056.ml,500,8.296012878417969e-3,3,U,25,6
prog0057.ml,500,1.3962030410766602e-2,1,U,27,7
prog0058.ml,500,2.347111701965332e-2,1,U,27,7
prog0059.ml,500,9.550094604492188e-3,1,U,15,3
prog0060.ml,500,2.6149749755859375e-3,1,U,9,4
prog0061.ml,500,1.1624813079833984e-2,1,U,28,6
prog0062.ml,500,8.039474487304688e-4,1,U,3,2
prog0063.ml,500,7.745981216430664e-3,1,H,23,10
prog0064.ml,500,1.2052059173583984e-2,1,D,0,0
prog0065.ml,500,1.1239051818847656e-2,1,D,0,0
prog0066.ml,500,3.226041793823242e-3,1,H,12,6
prog0072.ml,500,9.360074996948242e-3,3,U,14,4
prog0073.ml,500,5.17120361328125e-2,4,U,35,7
prog0074.ml,500,1.3498067855834961e-2,2,U,18,4
prog0075.ml,500,1.0735034942626953e-2,3,U,14,4
prog0076.ml,500,9.13548469543457e-2,7,H,43,9
prog0077.ml,500,6.138205528259277e-2,4,H,22,6
prog0080.ml,500,1.3063192367553711e-2,3,U,6,2
prog0081.ml,500,1.8452167510986328e-2,2,H,22,6
prog0082.ml,500,4.662990570068359e-3,1,U,15,5
prog0083.ml,500,4.68897819519043e-3,1,U,15,5
prog0084.ml,500,60.00746703147888,1,T,0,0
prog0085.ml,500,46.909066915512085,1000,S,0,0
prog0086.ml,500,9.716987609863281e-3,1,U,34,10
prog0087.ml,500,43.21166491508484,1000,S,0,0
prog0088.ml,500,9.970903396606445e-3,1,U,34,10
prog0089.ml,500,9.649038314819336e-3,1,U,34,10
prog0090.ml,500,5.769014358520508e-3,1,S,0,0
prog0091.ml,500,2.948904037475586e-2,1,U,36,11
prog0092.ml,500,2.847599983215332e-2,1,U,36,11
prog0093.ml,500,44.19793391227722,1000,S,0,0
prog0094.ml,500,1.1105060577392578e-2,1,U,35,10
prog0095.ml,500,1.0059118270874023e-2,1,U,35,10
prog0096.ml,500,1.8131732940673828e-3,1,U,8,3
prog0097.ml,500,47.53297281265259,1000,S,0,0
prog0098.ml,500,2.125978469848633e-3,1,U,11,4
prog0099.ml,500,2.0208358764648438e-3,1,U,10,2
prog0100.ml,500,2.3119449615478516e-3,1,U,12,4
prog0101.ml,500,2.3729801177978516e-3,1,U,11,4
prog0102.ml,500,2.315998077392578e-3,1,U,12,4
prog0103.ml,500,2.443075180053711e-3,2,D,0,0
prog0104.ml,500,4.698038101196289e-3,1,U,19,4
prog0105.ml,500,4.723072052001953e-3,1,U,19,4
prog0106.ml,500,4.745006561279297e-3,1,U,19,4
prog0107.ml,500,1.5276908874511719e-2,1,B,33,7
prog0108.ml,500,3.71699333190918e-2,1,U,42,8
prog0109.ml,500,1.4650106430053711e-2,1,U,35,7
prog0110.ml,500,1.9793033599853516e-2,1,U,47,9
prog0111.ml,500,1.797199249267578e-2,1,U,44,9
prog0112.ml,500,2.204298973083496e-2,1,U,46,9
prog0113.ml,500,4.290509223937988e-2,1,U,47,9
prog0114.ml,500,4.562211036682129e-2,1,U,47,9
prog0115.ml,500,2.280282974243164e-2,1,U,47,9
prog0116.ml,500,1.9195079803466797e-2,1,U,47,9
prog0117.ml,500,0.26184892654418945,1,U,105,17
prog0118.ml,500,2.1647930145263672e-2,1,U,47,9
prog0119.ml,500,4.5124053955078125e-2,1,U,55,11
prog0120.ml,500,2.2622108459472656e-2,1,U,47,9
prog0121.ml,500,0.12247800827026367,3,U,122,21
prog0122.ml,500,5.645608901977539e-2,2,U,52,9
prog0123.ml,500,7.263398170471191e-2,3,U,53,9
prog0124.ml,500,0.1041100025177002,3,U,119,22
prog0125.ml,500,0.5268499851226807,1000,S,0,0
prog0126.ml,500,1.9178390502929688e-3,1,U,12,4
prog0127.ml,500,9.958744049072266e-4,1,U,3,2
prog0128.ml,500,3.5691261291503906e-4,1,U,1,1
prog0129.ml,500,9.536981582641602e-3,13,U,8,3
prog0130.ml,500,7.7359676361083984e-3,3,U,22,6
prog0131.ml,500,1.2555122375488281e-2,1,U,25,7
prog0132.ml,500,1.2630939483642578e-2,1,U,25,7
prog0133.ml,500,4.979133605957031e-3,2,U,10,4
prog0134.ml,500,5.0220489501953125e-3,2,U,10,4
prog0135.ml,500,1.9975900650024414e-2,13,U,21,4
prog0136.ml,500,2.2359848022460938e-2,15,U,22,4
prog0137.ml,500,6.552934646606445e-3,3,U,20,6
prog0138.ml,500,6.378889083862305e-3,1,U,22,8
prog0139.ml,500,4.432201385498047e-4,1,U,2,1
prog0140.ml,500,1.6632795333862305e-2,3,H,25,4
prog0141.ml,500,3.139781951904297e-2,5,U,25,4
prog0142.ml,500,7.753133773803711e-3,1,U,26,7
prog0143.ml,500,4.841804504394531e-3,1,U,21,7
prog0144.ml,500,7.005929946899414e-3,1,U,27,7
prog0145.ml,500,6.8399906158447266e-3,1,U,26,7
prog0146.ml,500,6.876945495605469e-3,1,U,27,7
prog0147.ml,500,6.930112838745117e-3,1,U,27,7
prog0148.ml,500,3.4530162811279297e-3,1,H,15,6
prog0149.ml,500,3.6869049072265625e-3,1,H,13,5
prog0150.ml,500,1.0981559753417969e-3,1,B,4,2
prog0151.ml,500,3.3800601959228516e-3,2,U,6,2
prog0152.ml,500,1.1069059371948242e-2,4,U,8,2
prog0153.ml,500,0.24023079872131348,13,U,124,27
prog0154.ml,500,1.0066986083984375e-2,1,U,24,4
prog0155.ml,500,3.4940242767333984e-3,4,H,8,2
prog0156.ml,500,2.399921417236328e-3,2,H,8,2
prog0157.ml,500,1.6269683837890625e-3,1,U,7,3
prog0158.ml,500,2.480030059814453e-3,1,U,11,6
prog0159.ml,500,2.549886703491211e-3,1,H,11,6
prog0160.ml,500,1.7321109771728516e-3,1,U,7,3
prog0161.ml,500,5.810976028442383e-3,2,U,20,2
prog0162.ml,500,3.844904899597168e-2,4,U,64,6
prog0163.ml,500,0.2242600917816162,5,U,212,30
prog0164.ml,500,7.856297492980957e-2,3,U,123,20
prog0165.ml,500,0.39766693115234375,4,U,378,55
prog0166.ml,500,5.378007888793945e-3,2,U,8,2
prog0167.ml,500,5.507946014404297e-3,2,U,8,2
prog0168.ml,500,1.4230966567993164e-2,6,U,9,2
prog0169.ml,500,1.0540962219238281e-2,2,U,17,4
prog0170.ml,500,2.2869110107421875e-2,2,U,27,6
prog0171.ml,500,3.869295120239258e-2,4,U,31,6
prog0172.ml,500,4.590034484863281e-3,6,D,0,0
prog0173.ml,500,3.430795669555664e-2,2,U,31,6
prog0174.ml,500,3.6499500274658203e-3,4,D,0,0
prog0175.ml,500,4.070305824279785e-2,3,U,31,6
prog0176.ml,500,0.5821409225463867,1000,S,0,0
prog0177.ml,500,1.4619827270507813e-3,1,D,0,0
prog0178.ml,500,4.841804504394531e-3,1,D,0,0
prog0179.ml,500,3.6759376525878906e-3,3,U,15,4
prog0180.ml,500,2.8867721557617188e-3,2,U,15,4
prog0181.ml,500,7.014036178588867e-3,2,U,17,4
prog0182.ml,500,4.807949066162109e-3,2,D,0,0
prog0183.ml,500,5.606174468994141e-3,2,D,0,0
prog0184.ml,500,4.052162170410156e-3,2,U,17,4
prog0185.ml,500,2.5238990783691406e-3,1,D,0,0
prog0186.ml,500,1.4350414276123047e-3,1,D,0,0
prog0187.ml,3000,4.796794176101685,1,T,0,0
prog0188.ml,500,1.497030258178711e-3,1,D,0,0
prog0189.ml,500,60.0130820274353,1,T,0,0
prog0190.ml,500,60.00146412849426,1,T,0,0
prog0191.ml,500,3.5669803619384766e-3,2,U,9,3
prog0192.ml,500,1.5048980712890625e-3,1,U,6,3
prog0193.ml,500,1.5728473663330078e-3,1,U,6,3
prog0194.ml,500,1.8513917922973633e-2,4,U,28,9
prog0195.ml,500,1.5995025634765625e-2,3,U,28,9
prog0196.ml,500,2.048969268798828e-3,1,U,5,3
prog0197.ml,500,9.360098838806152e-2,12,U,39,11
prog0198.ml,500,0.12473607063293457,16,U,39,11
prog0199.ml,500,9.999275207519531e-4,1,U,3,2
prog0200.ml,500,9.447884559631348e-2,13,U,42,12
prog0201.ml,500,9.059906005859375e-2,13,U,40,11
prog0202.ml,500,4.901885986328125e-3,4,U,8,3
prog0203.ml,500,7.461690902709961e-2,11,U,40,11
prog0204.ml,500,9.945511817932129e-2,1,U,17,7
prog0205.ml,500,1.8510818481445313e-3,2,U,5,2
prog0206.ml,500,1.9390583038330078e-3,2,U,6,2
prog0207.ml,500,1.2400150299072266e-3,1,U,4,2
