file,stepLimit,time,tests,outcome,steps,jumps
prog0001.ml,500,0.22212910652160645,5,U,10,6
prog0002.ml,500,2.9420852661132813e-3,4,U,6,2
prog0003.ml,500,1.6638391017913818,1000,S,0,0
prog0004.ml,500,3.5228729248046875e-3,2,U,12,4
prog0005.ml,500,4.431962966918945e-3,4,U,5,2
prog0006.ml,500,0.22241806983947754,1,U,17,5
prog0007.ml,500,2.582073211669922e-3,1,U,6,2
prog0008.ml,500,0.22084784507751465,3,U,15,4
prog0009.ml,500,2.1000781059265137,300,U,39,10
prog0010.ml,1000,60.01142406463623,1,T,0,0
prog0011.ml,500,8.689165115356445e-3,1,U,17,5
prog0012.ml,500,1.2056827545166016e-2,1,U,24,8
prog0013.ml,500,7.246971130371094e-3,1,U,24,8
prog0014.ml,500,1.2880802154541016e-2,1,U,24,8
prog0016.ml,500,1.0853052139282227e-2,2,U,20,6
prog0017.ml,500,7.161855697631836e-3,3,U,20,6
prog0018.ml,500,2.424907684326172e-2,1,U,25,7
prog0019.ml,500,2.9247045516967773e-2,4,U,36,7
prog0020.ml,500,30.11829400062561,1000,S,0,0
prog0021.ml,500,2.0933151245117188e-2,4,U,24,7
prog0022.ml,500,4.918098449707031e-3,3,U,14,5
prog0023.ml,500,1.477193832397461e-2,5,U,20,6
prog0024.ml,500,2.547311782836914e-2,5,U,24,6
prog0025.ml,500,1.6085147857666016e-2,5,U,24,7
prog0026.ml,500,20.830273151397705,1000,S,0,0
prog0027.ml,500,1.1132955551147461e-2,1,S,0,0
prog0028.ml,500,28.325443983078003,1000,S,0,0
prog0029.ml,500,5.6269168853759766e-3,3,U,17,4
prog0030.ml,1000,60.00768709182739,1,T,0,0
prog0031.ml,500,1.9159317016601563e-3,1,S,0,0
prog0032.ml,500,7.2841644287109375e-3,3,U,20,6
prog0033.ml,500,1.4734983444213867e-2,4,U,31,10
prog0034.ml,500,7.860660552978516e-4,1,U,6,2
prog0035.ml,500,7.719993591308594e-4,1,U,6,2
prog0036.ml,500,1.4178752899169922e-3,1,U,6,2
prog0037.ml,500,1.0609626770019531e-3,1,U,6,2
prog0038.ml,500,3.337502479553223e-2,6,U,24,7
prog0039.ml,500,5.0466060638427734e-2,5,U,24,7
prog0040.ml,500,57.91358995437622,1000,S,0,0
prog0041.ml,2000,60.34831094741821,1,T,0,0
prog0042.ml,500,3.4601688385009766e-3,3,U,14,5
prog0043.ml,1500,60.00448203086853,1,T,0,0
prog0044.ml,500,2.538919448852539e-3,1,U,6,4
prog0045.ml,500,2.856016159057617e-3,3,U,11,5
prog0046.ml,500,2.7260780334472656e-3,3,U,11,5
prog0047.ml,500,1.8429756164550781e-3,1,H,8,4
prog0048.ml,500,1.5749931335449219e-3,1,H,7,4
prog0049.ml,500,1.4700889587402344e-3,1,H,7,4
prog0050.ml,500,1.917123794555664e-3,1,H,9,6
prog0051.ml,500,4.872798919677734e-3,1,U,17,5
prog0052.ml,500,2.2330284118652344e-3,1,U,9,3
prog0053.ml,500,3.178119659423828e-4,1,U,3,1
prog0054.ml,500,5.710124969482422e-4,1,U,3,1
prog0055.ml,500,4.4798851013183594e-4,1,U,1,1
prog0056.ml,500,1.5399456024169922e-3,2,U,4,2
prog0057.ml,500,2.02178955078125e-4,1,U,1,1
prog0058.ml,500,7.358074188232422e-3,4,U,3,2
prog0060.ml,500,4.282951354980469e-3,4,U,6,2
prog0061.ml,500,6.443023681640625e-3,4,U,6,2
prog0063.ml,500,1.3675928115844727e-2,3,U,23,6
prog0064.ml,500,5.469322204589844e-4,1,U,1,1
prog0065.ml,500,5.072832107543945e-3,1,U,8,2
