file,stepLimit,time,tests,outcome,steps,jumps
prog0001.ml,500,1.6331672668457031e-3,1,U,2,1
prog0002.ml,500,9.896993637084961e-3,1,U,5,2
prog0003.ml,500,1.8297910690307617e-2,1,U,5,2
prog0004.ml,500,3.2520294189453125e-4,1,U,1,1
prog0005.ml,500,1.1680126190185547e-3,1,B,2,1
prog0006.ml,500,1.1990070343017578e-3,1,B,2,1
prog0007.ml,500,2.071213722229004e-2,1,S,0,0
prog0008.ml,500,5.217075347900391e-3,1,B,2,1
prog0009.ml,500,5.0699710845947266e-3,1,B,3,1
prog0010.ml,500,5.7489871978759766e-3,1,B,3,1
prog0011.ml,500,5.755901336669922e-3,1,B,3,1
prog0013.ml,500,4.520416259765625e-4,1,B,1,1
prog0014.ml,500,3.371238708496094e-4,1,U,1,1
prog0015.ml,500,5.669593811035156e-4,1,U,1,1
prog0016.ml,500,2.6099681854248047e-3,1,U,4,2
prog0017.ml,500,7.920980453491211e-3,1,U,2,1
prog0019.ml,500,1.2438297271728516e-3,1,U,2,1
prog0020.ml,500,3.3080577850341797e-3,1,U,1,1
prog0021.ml,500,5.937814712524414e-3,1,U,5,1
prog0022.ml,500,7.283926010131836e-3,1,U,9,1
prog0023.ml,500,6.482839584350586e-3,1,U,5,1
prog0024.ml,500,4.054689407348633e-2,1,U,45,14
prog0025.ml,500,2.995014190673828e-3,1,U,5,1
prog0026.ml,500,1.1436939239501953e-2,1,U,5,1
prog0027.ml,500,1.0449886322021484e-3,1,U,4,2
prog0028.ml,500,1.5959739685058594e-3,1,U,4,2
prog0029.ml,500,1.0581016540527344e-3,1,U,4,2
prog0030.ml,500,1.3279914855957031e-3,1,U,3,1
prog0031.ml,500,5.779266357421875e-4,1,U,1,1
prog0032.ml,500,7.300376892089844e-4,1,U,1,1
prog0033.ml,500,8.4686279296875e-4,1,U,1,1
prog0034.ml,500,4.658699035644531e-4,1,U,1,1
prog0035.ml,500,1.2869834899902344e-3,1,U,1,1
prog0036.ml,500,6.871223449707031e-4,1,U,1,1
prog0037.ml,500,5.7220458984375e-4,1,U,1,1
prog0038.ml,500,4.489421844482422e-4,1,U,2,1
prog0039.ml,500,5.800724029541016e-4,1,U,1,1
prog0040.ml,500,7.510185241699219e-4,1,U,2,1
prog0041.ml,500,3.9887428283691406e-4,1,U,1,1
prog0042.ml,500,4.811286926269531e-4,1,U,1,1
prog0043.ml,500,1.0128021240234375e-3,1,B,1,1
prog0044.ml,500,3.190040588378906e-4,1,B,1,1
prog0045.ml,500,5.929470062255859e-4,1,U,1,1
prog0046.ml,500,6.098747253417969e-4,1,U,1,1
prog0047.ml,500,2.3412704467773438e-4,1,U,1,1
prog0048.ml,500,3.190040588378906e-4,1,U,1,1
prog0049.ml,500,6.780624389648438e-4,1,U,1,1
prog0050.ml,500,4.889965057373047e-4,1,U,1,1
prog0051.ml,500,5.5789947509765625e-3,1,U,6,2
prog0052.ml,500,4.4748783111572266e-3,1,U,8,2
prog0053.ml,500,3.1518936157226563e-3,1,U,8,1
prog0054.ml,500,1.5540122985839844e-3,1,U,3,1
prog0055.ml,500,3.390073776245117e-3,1,U,6,2
prog0056.ml,500,2.1200180053710938e-3,1,U,4,2
prog0057.ml,500,3.6690235137939453e-3,1,S,0,0
prog0058.ml,500,1.1036157608032227e-2,1,U,11,3
prog0059.ml,500,3.1888484954833984e-3,1,U,11,3
prog0060.ml,500,2.8769969940185547e-3,1,S,0,0
prog0061.ml,500,9.679794311523438e-4,1,U,4,2
prog0062.ml,500,4.3032169342041016e-3,1,U,10,3
prog0063.ml,500,6.659030914306641e-4,1,U,1,1
prog0064.ml,500,2.2728443145751953e-3,1,U,9,2
prog0065.ml,500,7.829666137695313e-4,1,U,2,1
prog0066.ml,500,1.0051727294921875e-3,1,U,2,1
prog0067.ml,500,1.97601318359375e-3,1,U,3,1
prog0068.ml,500,9.260177612304688e-4,1,U,3,1
prog0069.ml,500,9.090900421142578e-4,1,U,3,1
prog0070.ml,500,8.099079132080078e-4,1,U,2,1
prog0075.ml,500,6.82830810546875e-4,1,U,2,1
prog0076.ml,500,4.1794776916503906e-4,1,U,1,1
prog0077.ml,500,5.660057067871094e-4,1,U,2,1
prog0078.ml,500,2.856016159057617e-3,1,U,3,1
prog0079.ml,500,6.7901611328125e-4,1,U,2,1
prog0080.ml,500,4.420280456542969e-4,1,U,2,1
prog0081.ml,500,4.909038543701172e-4,1,U,2,1
prog0082.ml,500,7.929801940917969e-4,1,U,3,1
prog0083.ml,500,5.428791046142578e-4,1,U,2,1
prog0084.ml,500,2.4788379669189453e-3,1,U,5,1
prog0085.ml,500,1.360177993774414e-3,1,U,3,1
prog0086.ml,500,1.1789798736572266e-3,1,U,4,1
prog0087.ml,500,2.899169921875e-4,1,U,2,1
prog0088.ml,500,5.309581756591797e-4,1,U,2,1
prog0089.ml,500,7.01904296875e-4,1,U,3,1
prog0090.ml,500,5.190372467041016e-4,1,U,2,1
prog0092.ml,500,5.738735198974609e-4,1,U,1,1
prog0093.ml,500,2.8204917907714844e-4,1,U,1,1
prog0094.ml,500,2.8395652770996094e-4,1,U,1,1
prog0095.ml,500,5.071163177490234e-4,1,U,1,1
prog0096.ml,500,4.038810729980469e-4,1,U,1,1
prog0097.ml,500,6.1798095703125e-4,1,U,1,1
prog0098.ml,500,5.810260772705078e-4,1,U,1,1
prog0099.ml,500,2.300739288330078e-4,1,U,1,1
prog0100.ml,500,1.4090538024902344e-3,1,U,4,2
prog0101.ml,500,3.343820571899414e-3,1,U,4,2
prog0102.ml,500,2.024102210998535e-2,1,U,8,2
prog0103.ml,500,7.110118865966797e-3,1,S,0,0
prog0104.ml,500,8.311271667480469e-4,1,S,0,0
prog0105.ml,500,6.210803985595703e-3,1,U,6,2
prog0106.ml,500,1.4719963073730469e-3,1,U,6,2
prog0107.ml,500,5.5849552154541016e-3,1,S,0,0
prog0109.ml,500,9.469985961914063e-4,1,U,4,1
prog0110.ml,500,5.519390106201172e-4,1,B,2,1
prog0111.ml,500,4.0602684020996094e-4,1,U,1,1
prog0112.ml,500,3.750324249267578e-4,1,U,1,1
prog0113.ml,500,3.4999847412109375e-4,1,U,1,1
prog0114.ml,500,3.898143768310547e-4,1,U,1,1
prog0115.ml,500,4.279613494873047e-4,1,U,1,1
prog0116.ml,500,2.620220184326172e-4,1,U,1,1
prog0117.ml,500,3.3402442932128906e-4,1,U,3,1
prog0118.ml,500,2.288818359375e-4,1,U,1,1
prog0119.ml,500,3.349781036376953e-4,1,U,1,1
prog0120.ml,500,2.970695495605469e-4,1,U,1,1
prog0121.ml,500,4.410743713378906e-4,1,U,1,1
prog0122.ml,500,1.0139942169189453e-3,1,U,2,1
prog0123.ml,500,5.691051483154297e-4,1,U,2,1
prog0124.ml,500,7.5800418853759766e-3,1,U,6,1
prog0125.ml,500,5.991458892822266e-4,1,U,1,1
prog0126.ml,500,5.259513854980469e-4,1,U,1,1
prog0127.ml,500,5.590915679931641e-4,1,U,1,1
prog0128.ml,500,5.433797836303711e-3,1,U,6,2
prog0129.ml,500,6.1109066009521484e-3,1,U,15,4
prog0130.ml,500,1.1868476867675781e-3,1,U,1,1
prog0131.ml,500,7.960796356201172e-4,1,B,3,1
prog0132.ml,500,1.6961097717285156e-3,1,B,4,2
prog0133.ml,500,4.258155822753906e-3,1,B,18,5
prog0134.ml,500,5.258679389953613e-2,2,U,29,7
prog0135.ml,500,1.9926071166992188e-2,1,U,18,5
prog0136.ml,500,9.150505065917969e-4,1,U,6,2
prog0137.ml,500,1.3659000396728516e-3,1,U,1,1
prog0138.ml,500,1.5110969543457031e-3,1,U,2,1
prog0139.ml,500,1.8308162689208984e-3,1,U,6,2
prog0140.ml,500,2.1791458129882813e-3,1,U,6,2
prog0141.ml,500,1.703023910522461e-3,1,U,6,2
prog0142.ml,500,1.085042953491211e-3,1,U,1,1
prog0143.ml,500,1.6460418701171875e-3,1,U,4,3
prog0144.ml,500,1.8880367279052734e-3,1,U,4,3
prog0145.ml,500,1.5439987182617188e-3,1,U,4,3
prog0146.ml,500,1.4891624450683594e-3,1,U,3,3
prog0147.ml,500,5.5262088775634766e-2,1,S,0,0
prog0148.ml,500,6.0884952545166016e-2,1,S,0,0
prog0149.ml,500,4.790306091308594e-2,1,S,0,0
prog0150.ml,500,6.257820129394531e-2,1,S,0,0
prog0151.ml,500,8.933901786804199e-2,1,D,0,0
prog0152.ml,1000,8.893013000488281e-3,3,U,12,3
prog0153.ml,500,3.1768083572387695e-2,4,U,31,9
